CustomerID,DataFatura,ReceitaMensal
C00001,2024-01-01,60
C00001,2024-02-01,60
C00001,2024-03-01,60
C00001,2024-04-01,60
C00001,2024-05-01,60
C00001,2024-06-01,60
C00001,2024-07-01,60
C00001,2024-08-01,60
C00001,2024-09-01,60
C00001,2024-10-01,60
C00001,2024-11-01,60
C00001,2024-12-01,60
C00002,2024-10-01,120
C00002,2024-11-01,120
C00002,2024-12-01,120
C00003,2024-01-01,60
C00003,2024-02-01,60
C00003,2024-03-01,60
C00003,2024-04-01,60
C00003,2024-05-01,60
C00003,2024-06-01,60
C00003,2024-07-01,60
C00003,2024-08-01,60
C00003,2024-09-01,60
C00004,2024-01-01,120
C00004,2024-02-01,120
C00004,2024-03-01,120
C00005,2024-01-01,60
C00005,2024-02-01,60
C00005,2024-03-01,60
C00005,2024-04-01,60
C00005,2024-05-01,60
C00006,2024-01-01,80
C00006,2024-02-01,80
C00006,2024-03-01,80
C00006,2024-04-01,80
C00006,2024-05-01,80
C00006,2024-06-01,80
C00006,2024-07-01,80
C00006,2024-08-01,80
C00006,2024-09-01,80
C00006,2024-10-01,80
C00006,2024-11-01,80
C00006,2024-12-01,80
C00007,2024-01-01,60
C00007,2024-02-01,60
C00007,2024-03-01,60
C00007,2024-04-01,60
C00007,2024-05-01,60
C00007,2024-06-01,60
C00007,2024-07-01,60
C00007,2024-08-01,60
C00007,2024-09-01,60
C00007,2024-10-01,60
C00007,2024-11-01,60
C00007,2024-12-01,60
C00008,2024-01-01,80
C00008,2024-02-01,80
C00008,2024-03-01,80
C00008,2024-04-01,80
C00008,2024-05-01,80
C00008,2024-06-01,80
C00008,2024-07-01,80
C00008,2024-08-01,80
C00008,2024-09-01,80
C00008,2024-10-01,80
C00008,2024-11-01,80
C00008,2024-12-01,80
C00009,2024-01-01,80
C00009,2024-02-01,80
C00009,2024-03-01,80
C00009,2024-04-01,80
C00009,2024-05-01,80
C00009,2024-06-01,80
C00009,2024-07-01,80
C00009,2024-08-01,80
C00009,2024-09-01,80
C00009,2024-10-01,80
C00009,2024-11-01,80
