CustomerID,NomeCliente,Genero,Idade,Regiao,DataInicio,DataCancelamento,MotivoCancelamento,Plano,ValorMensal,CanalAquisicao
C00001,Cliente 1,M,64,Centro-Oeste,2020-05-26,,,Basic,60,Online
C00002,Cliente 2,F,64,Norte,2024-09-07,,,Premium,120,Online
C00003,Cliente 3,M,21,Sul,2023-12-31,2024-09-25,Serviço,Basic,60,Online
C00004,Cliente 4,M,24,Centro-Oeste,2021-03-14,2024-03-18,Concorrência,Premium,120,Google Ads
C00005,Cliente 5,M,62,Norte,2022-06-06,2024-05-04,Serviço,Basic,60,Google Ads
C00006,Cliente 6,F,52,Sudeste,2023-04-27,,,Standard,80,Online
C00007,Cliente 7,M,26,Sul,2020-06-08,,,Basic,60,Online
C00008,Cliente 8,M,25,Norte,2022-03-24,,,Standard,80,Online
C00009,Cliente 9,M,62,Norte,2021-02-05,,,Standard,80,Google Ads
C00010,Cliente 10,F,34,Nordeste,2021-08-08,2024-09-25,Serviço,Basic,60,Google Ads
C00011,Cliente 11,M,34,Centro-Oeste,2022-05-13,,,Standard,80,Indicação
C00012,Cliente 12,M,50,Nordeste,2022-11-07,2024-04-15,Uso baixo,Standard,80,Facebook
C00013,Cliente 13,M,49,Sul,2020-05-19,,,Standard,80,Google Ads
C00014,Cliente 14,M,25,Norte,2023-02-12,2024-08-12,Serviço,Standard,80,Online
C00015,Cliente 15,F,36,Nordeste,2020-11-23,,,Basic,60,Facebook
C00016,Cliente 16,M,55,Centro-Oeste,2020-08-12,,,Standard,80,Google Ads
C00017,Cliente 17,F,20,Sul,2021-07-11,,,Premium,120,Facebook
C00018,Cliente 18,F,22,Sudeste,2021-03-14,,,Premium,120,Indicação
C00019,Cliente 19,F,30,Nordeste,2024-04-22,2024-06-01,Uso baixo,Premium,120,Google Ads
C00020,Cliente 20,M,64,Sul,2024-10-07,,,Basic,60,Online
C00021,Cliente 21,F,63,Sudeste,2021-01-20,,,Standard,80,Online
C00022,Cliente 22,M,48,Nordeste,2021-06-04,2024-05-03,Preço,Standard,80,Indicação
C00023,Cliente 23,F,33,Sul,2023-06-30,2024-12-13,Preço,Basic,60,Indicação
C00024,Cliente 24,F,49,Sul,2021-09-11,,,Premium,120,Indicação
C00025,Cliente 25,F,39,Nordeste,2023-01-26,2024-05-25,Concorrência,Standard,80,Indicação
C00026,Cliente 26,F,46,Sul,2022-02-25,,,Basic,60,Indicação
C00027,Cliente 27,F,39,Norte,2022-12-30,,,Basic,60,Google Ads
C00028,Cliente 28,F,60,Nordeste,2021-07-04,,,Premium,120,Google Ads
C00029,Cliente 29,F,20,Sul,2021-03-22,,,Basic,60,Facebook
C00030,Cliente 30,F,27,Sudeste,2023-01-18,,,Basic,60,Indicação
C00031,Cliente 31,M,59,Sudeste,2023-12-24,,,Standard,80,Online
C00032,Cliente 32,M,38,Norte,2023-05-27,,,Basic,60,Online
C00033,Cliente 33,F,33,Nordeste,2020-04-16,2024-06-13,Concorrência,Premium,120,Indicação
C00034,Cliente 34,F,29,Sul,2024-02-08,,,Standard,80,Indicação
C00035,Cliente 35,F,19,Sul,2022-07-04,2024-07-19,Concorrência,Standard,80,Indicação
C00036,Cliente 36,M,58,Sudeste,2024-01-17,2024-01-12,Uso baixo,Premium,120,Indicação
C00037,Cliente 37,F,41,Norte,2022-06-22,,,Standard,80,Indicação
C00038,Cliente 38,M,52,Sudeste,2024-06-19,,,Basic,60,Online
C00039,Cliente 39,M,47,Sudeste,2021-06-27,,,Standard,80,Facebook
C00040,Cliente 40,M,47,Norte,2023-02-23,2024-09-12,Serviço,Standard,80,Indicação
C00041,Cliente 41,M,64,Nordeste,2023-03-16,,,Basic,60,Indicação
C00042,Cliente 42,M,52,Sul,2020-10-06,,,Standard,80,Indicação
C00043,Cliente 43,F,36,Nordeste,2020-01-24,2024-12-25,Uso baixo,Premium,120,Google Ads
C00044,Cliente 44,F,25,Centro-Oeste,2022-08-09,,,Standard,80,Online
C00045,Cliente 45,F,43,Centro-Oeste,2024-10-10,,,Premium,120,Online
C00046,Cliente 46,F,57,Centro-Oeste,2020-04-29,,,Standard,80,Facebook
C00047,Cliente 47,F,24,Norte,2024-12-14,2024-01-09,Uso baixo,Standard,80,Google Ads
C00048,Cliente 48,M,47,Sudeste,2024-08-02,2024-04-09,Preço,Premium,120,Google Ads
C00049,Cliente 49,F,24,Nordeste,2023-08-13,,,Basic,60,Google Ads
C00050,Cliente 50,F,20,Sul,2022-05-04,,,Basic,60,Facebook
C00051,Cliente 51,M,18,Centro-Oeste,2022-10-12,2024-05-16,Concorrência,Standard,80,Facebook
C00052,Cliente 52,F,53,Nordeste,2022-08-01,2024-01-22,Concorrência,Standard,80,Facebook
C00053,Cliente 53,M,42,Centro-Oeste,2023-01-10,2024-05-24,Preço,Basic,60,Google Ads
C00054,Cliente 54,F,54,Centro-Oeste,2021-03-23,,,Basic,60,Online
C00055,Cliente 55,M,18,Sul,2024-10-09,2024-09-05,Concorrência,Basic,60,Google Ads
C00056,Cliente 56,F,32,Norte,2022-09-22,,,Standard,80,Facebook
C00057,Cliente 57,F,54,Sudeste,2024-02-02,,,Premium,120,Google Ads
C00058,Cliente 58,M,30,Norte,2023-12-17,,,Premium,120,Indicação
C00059,Cliente 59,M,57,Nordeste,2024-04-17,,,Standard,80,Google Ads
C00060,Cliente 60,M,25,Norte,2022-11-13,2024-03-28,Concorrência,Premium,120,Google Ads
C00061,Cliente 61,M,22,Nordeste,2022-12-20,,,Standard,80,Online
C00062,Cliente 62,M,26,Nordeste,2024-09-20,2024-02-02,Preço,Basic,60,Online
C00063,Cliente 63,M,18,Sudeste,2020-03-24,,,Basic,60,Online
C00064,Cliente 64,M,53,Sul,2020-08-12,,,Standard,80,Indicação
C00065,Cliente 65,M,52,Sudeste,2024-08-30,,,Basic,60,Online
C00066,Cliente 66,F,19,Norte,2020-07-04,,,Standard,80,Indicação
C00067,Cliente 67,F,57,Nordeste,2021-01-09,,,Standard,80,Facebook
C00068,Cliente 68,M,40,Centro-Oeste,2020-03-12,,,Standard,80,Online
C00069,Cliente 69,F,26,Centro-Oeste,2020-03-14,,,Premium,120,Google Ads
C00070,Cliente 70,F,51,Nordeste,2023-09-26,,,Standard,80,Google Ads
C00071,Cliente 71,F,63,Sudeste,2020-06-01,2024-09-27,Concorrência,Basic,60,Indicação
C00072,Cliente 72,F,31,Sul,2020-04-05,,,Standard,80,Online
C00073,Cliente 73,M,21,Sudeste,2024-05-07,,,Standard,80,Google Ads
C00074,Cliente 74,F,47,Nordeste,2021-03-20,,,Basic,60,Facebook
C00075,Cliente 75,M,48,Nordeste,2024-09-05,2024-08-13,Preço,Basic,60,Online
C00076,Cliente 76,F,55,Sul,2023-02-07,,,Standard,80,Facebook
C00077,Cliente 77,F,28,Norte,2024-01-21,,,Premium,120,Google Ads
C00078,Cliente 78,F,52,Norte,2022-04-07,2024-04-21,Serviço,Standard,80,Online
C00079,Cliente 79,M,25,Sul,2022-12-10,,,Premium,120,Indicação
C00080,Cliente 80,F,20,Norte,2021-01-11,,,Premium,120,Google Ads
C00081,Cliente 81,M,31,Centro-Oeste,2022-02-03,2024-07-31,Uso baixo,Basic,60,Facebook
C00082,Cliente 82,F,30,Norte,2023-01-01,,,Standard,80,Online
C00083,Cliente 83,M,62,Norte,2020-07-30,,,Standard,80,Facebook
C00084,Cliente 84,F,49,Norte,2023-12-26,,,Basic,60,Facebook
C00085,Cliente 85,M,51,Centro-Oeste,2021-12-24,2024-01-08,Serviço,Standard,80,Indicação
C00086,Cliente 86,M,62,Norte,2024-11-21,,,Standard,80,Indicação
C00087,Cliente 87,F,36,Centro-Oeste,2023-04-06,,,Basic,60,Google Ads
