CustomerID,MesReferencia,LoginsMensais,TicketsSuporte,NPS
C00001,2024-01-01,17,2,6
C00001,2024-04-01,17,2,4
C00001,2024-03-01,19,0,3
C00001,2024-12-01,16,0,8
C00001,2024-02-01,28,1,8
C00001,2024-06-01,28,2,10
C00001,2024-11-01,27,1,6
C00002,2024-09-01,24,0,5
C00002,2024-11-01,25,0,9
C00002,2024-04-01,18,2,7
C00002,2024-12-01,21,2,6
C00002,2024-05-01,22,2,5
C00002,2024-06-01,21,0,8
C00002,2024-03-01,19,0,6
C00002,2024-01-01,12,1,8
C00002,2024-07-01,15,1,5
C00002,2024-10-01,21,1,7
C00002,2024-02-01,22,2,9
C00002,2024-08-01,25,0,7
C00003,2024-06-01,8,3,3
C00003,2024-04-01,26,0,7
C00003,2024-10-01,16,1,6
C00003,2024-08-01,9,0,8
C00003,2024-03-01,16,2,10
C00003,2024-12-01,19,2,3
C00003,2024-05-01,26,0,5
C00003,2024-02-01,24,2,9
C00003,2024-07-01,32,1,9
C00003,2024-09-01,17,1,7
C00004,2024-12-01,22,2,8
C00004,2024-01-01,20,1,9
C00004,2024-11-01,11,0,5
C00004,2024-10-01,29,2,5
C00004,2024-02-01,19,3,9
C00004,2024-07-01,24,2,5
C00004,2024-05-01,16,0,4
C00004,2024-09-01,15,5,4
C00004,2024-03-01,18,2,4
C00004,2024-08-01,24,0,4
C00005,2024-04-01,25,1,9
C00005,2024-01-01,14,0,5
C00005,2024-06-01,21,2,6
C00005,2024-09-01,23,0,9
C00005,2024-10-01,16,4,8
C00005,2024-08-01,13,2,8
C00005,2024-12-01,19,0,8
C00005,2024-11-01,19,0,7
C00005,2024-07-01,17,0,8
C00006,2024-03-01,18,0,2
C00006,2024-02-01,20,3,2
C00006,2024-04-01,22,0,3
C00006,2024-07-01,24,2,9
C00006,2024-05-01,19,0,8
C00006,2024-11-01,20,1,5
C00007,2024-04-01,21,1,3
C00007,2024-09-01,27,1,7
C00007,2024-03-01,16,1,6
C00007,2024-12-01,23,0,4
C00007,2024-10-01,23,0,8
C00007,2024-05-01,13,1,7
C00007,2024-01-01,24,2,8
C00007,2024-11-01,16,1,7
C00007,2024-02-01,9,0,6
C00008,2024-12-01,32,2,6
C00008,2024-01-01,19,0,5
C00008,2024-11-01,16,1,7
C00008,2024-09-01,18,0,8
C00008,2024-06-01,18,2,9
C00008,2024-05-01,11,2,5
C00008,2024-08-01,25,0,9
C00009,2024-04-01,23,2,7
C00009,2024-12-01,30,7,5
C00009,2024-02-01,14,0,4
C00009,2024-05-01,24,0,9
C00009,2024-07-01,26,1,9
C00009,2024-09-01,12,2,7
C00009,2024-03-01,14,0,9
C00009,2024-11-01,21,2,6
C00009,2024-06-01,23,0,7
C00009,2024-01-01,17,2,3
C00009,2024-10-01,23,0,7
C00010,2024-12-01,22,0,5
C00010,2024-05-01,21,1,9
C00010,2024-09-01,18,1,6
C00010,2024-10-01,22,0,9
C00010,2024-08-01,17,0,6
C00010,2024-11-01,29,1,10
C00011,2024-07-01,23,3,9
C00011,2024-02-01,22,2,6
C00011,2024-08-01,20,0,5
C00011,2024-11-01,25,0,8
C00011,2024-10-01,24,0,9
C00011,2024-04-01,12,1,7
C00011,2024-01-01,17,1,7
C00012,2024-02-01,24,1,6
C00012,2024-03-01,13,2,8
C00012,2024-01-01,13,1,7
C00012,2024-04-01,19,2,4
C00012,2024-06-01,9,2,9
C00012,2024-12-01,20,2,7
C00012,2024-07-01,17,1,7
C00012,2024-11-01,13,1,2
C00012,2024-10-01,18,1,3
C00012,2024-08-01,27,1,6
C00013,2024-09-01,19,0,8
C00013,2024-03-01,18,0,7
C00013,2024-07-01,29,1,8
C00013,2024-04-01,20,0,8
C00013,2024-12-01,17,1,9
C00013,2024-10-01,16,0,8
C00013,2024-06-01,23,2,8
C00013,2024-01-01,25,0,4
C00013,2024-08-01,20,2,10
C00013,2024-11-01,17,0,6
C00013,2024-05-01,26,0,6
C00014,2024-08-01,15,2,7
C00014,2024-03-01,31,0,8
C00014,2024-01-01,13,1,7
C00014,2024-10-01,21,2,5
C00014,2024-12-01,15,0,5
C00014,2024-07-01,17,1,8
C00014,2024-02-01,17,1,3
C00014,2024-09-01,17,0,6
C00014,2024-06-01,20,0,7
C00014,2024-05-01,16,1,9
C00015,2024-12-01,11,0,5
C00015,2024-07-01,20,2,4
C00015,2024-09-01,18,2,9
C00015,2024-10-01,12,0,10
C00015,2024-08-01,17,0,8
C00015,2024-02-01,22,0,4
C00016,2024-12-01,27,0,10
C00016,2024-10-01,17,0,4
C00016,2024-04-01,17,2,5
C00016,2024-01-01,23,0,6
C00016,2024-11-01,25,1,7
C00016,2024-02-01,22,3,5
C00017,2024-01-01,17,3,9
C00017,2024-06-01,24,1,7
C00017,2024-12-01,19,1,6
C00017,2024-08-01,23,0,4
C00017,2024-05-01,16,1,6
C00017,2024-04-01,19,0,7
C00017,2024-02-01,25,2,7
C00017,2024-09-01,20,1,5
C00017,2024-11-01,28,3,7
C00017,2024-03-01,23,1,8
C00017,2024-10-01,11,0,5
C00017,2024-07-01,20,1,7
C00018,2024-08-01,20,0,9
C00018,2024-01-01,15,0,6
C00018,2024-09-01,25,2,7
C00018,2024-04-01,15,0,9
C00018,2024-06-01,13,4,6
C00018,2024-12-01,21,0,7
C00018,2024-11-01,20,0,4
C00018,2024-05-01,19,0,5
C00018,2024-07-01,27,2,7
C00018,2024-03-01,12,0,1
C00018,2024-02-01,25,0,6
C00018,2024-10-01,14,0,6
C00019,2024-12-01,23,2,6
C00019,2024-03-01,15,0,9
C00019,2024-11-01,25,0,4
C00019,2024-02-01,24,4,7
C00019,2024-01-01,36,0,6
C00019,2024-05-01,25,0,7
C00019,2024-08-01,24,1,5
C00019,2024-10-01,20,0,9
C00019,2024-07-01,24,3,7
C00019,2024-09-01,21,0,9
C00019,2024-04-01,24,0,7
C00019,2024-06-01,22,2,7
C00020,2024-07-01,20,1,7
C00020,2024-03-01,21,1,4
C00020,2024-11-01,20,1,10
C00020,2024-04-01,20,2,3
C00020,2024-09-01,30,1,5
C00020,2024-02-01,17,1,6
C00020,2024-12-01,25,1,9
C00020,2024-08-01,18,0,5
C00020,2024-10-01,8,1,8
C00020,2024-05-01,22,0,2
C00021,2024-12-01,17,2,5
C00021,2024-01-01,19,0,8
C00021,2024-10-01,24,0,6
C00021,2024-11-01,18,3,5
C00021,2024-09-01,22,2,10
C00021,2024-05-01,23,2,5
C00021,2024-04-01,15,0,5
